user_id,name,Age,Gender,Marital Status,Occupation
1,Claire Ferguson,20,Female,Single,Student
2,Jennifer Young,24,Female,Single,Student
3,Jermaine Roberson,22,Male,Single,Student
4,Rachel Carpenter,22,Female,Single,Student
5,Shawn Parker,22,Male,Single,Student
6,Timothy Clark,27,Female,Married,Employee
7,Alexander Lucas,22,Male,Single,Student
8,Christopher Curry,24,Female,Single,Student
9,Daniel Mercado,23,Female,Single,Student
10,Tony Lawrence,23,Female,Single,Student
11,Scott Sherman,22,Female,Single,Student
12,Michael Gilbert,23,Male,Single,Student
13,Alex Cortez,23,Male,Single,Student
14,Micheal King,21,Male,Single,Student
15,Daniel Lopez,23,Female,Single,Self Employeed
16,Carla Frye,24,Female,Single,Student
17,Theresa Murphy,28,Female,Single,Employee
18,Antonio Brown,23,Female,Single,Student
19,Kyle Hall,25,Male,Single,Student
20,Adrienne Davidson,21,Female,Single,Student
21,Chris Gonzalez,24,Male,Single,Student
22,Patrick Ibarra,22,Male,Single,Student
23,Christopher Smith,22,Female,Single,Student
24,Willie Glass,23,Male,Single,Student
25,Danielle Soto,21,Male,Single,Student
26,Matthew Carter,25,Male,Single,Student
27,Mr. Jeffrey Smith,22,Female,Single,Student
28,Terri Lawson,22,Male,Single,Student
29,Danielle Rasmussen,23,Female,Single,Employee
30,Brady Ramirez,22,Male,Single,Student
31,Randall Ross,22,Female,Single,Employee
32,Thomas Hughes,22,Male,Single,Student
33,Erica Bradley,25,Male,Married,Employee
34,Kristin Carter,22,Female,Single,Student
35,Martin Barnes,22,Female,Single,Student
36,Christopher Williams,25,Male,Single,Student
37,Timothy Warner,25,Male,Single,Student
38,Brandon Blankenship,32,Female,Prefer not to say,House wife
39,Taylor Mcdaniel,23,Female,Single,Student
40,Kimberly Shah,23,Female,Single,Student
41,Keith Sheppard,30,Male,Married,Self Employeed
42,Diana Mitchell,23,Male,Single,Student
43,Luke Evans,23,Male,Single,Student
44,Mallory Tucker,22,Female,Single,Student
45,Terrance Baker,22,Male,Single,Student
46,Andrew Baker,27,Female,Married,Self Employeed
47,Cynthia Gray,24,Female,Single,Student
48,Daniel Martinez,23,Male,Single,Student
49,William Collier,23,Female,Single,Student
50,Anthony Vargas,22,Female,Single,Student
51,Sharon Bell,23,Female,Single,Student
52,Tina Lambert,23,Female,Single,Student
53,James Davenport,24,Male,Single,Student
54,Amy Williams,25,Male,Single,Student
55,Brian Brown,22,Male,Single,Student
56,Dr. Christopher Buckley,28,Female,Married,Student
57,Elizabeth Mitchell,22,Female,Single,Student
58,Sharon Scott,24,Female,Single,Student
59,Kathy Yates,31,Male,Married,Employee
60,Bryce Morgan,25,Male,Single,Student
61,Antonio Ponce,23,Male,Single,Student
62,Thomas Evans,22,Male,Single,Student
63,Jamie White,23,Male,Single,Student
64,Alexandria Weber,23,Male,Single,Student
65,James Ruiz,23,Female,Single,Student
66,Louis Lee,25,Male,Single,Student
67,Erin Torres,24,Male,Single,Employee
68,Roger Johnson,23,Female,Single,Student
69,James Powers,23,Female,Single,Student
70,Sara Davis,24,Female,Married,Employee
71,Hunter Wood,22,Male,Single,Student
72,Michael Williams,24,Female,Single,Student
73,Brett Anderson,25,Female,Single,Student
74,Stacey Cross,23,Male,Single,Student
75,Curtis Thomas,26,Male,Single,Student
76,Carrie Evans,24,Female,Single,Student
77,Jason Macias,26,Male,Single,Student
78,Ronald Ramirez,21,Male,Single,Student
79,Mark Carter,22,Female,Single,Student
80,Tracy Haynes,24,Male,Single,Student
81,Mary Williams,24,Male,Single,Student
82,Billy Brewer,23,Female,Single,Student
83,Rachel Pearson,23,Male,Single,Student
84,Vanessa Ortiz,22,Male,Single,Student
85,Austin Barr,23,Male,Single,Student
86,Dustin Morrison,24,Female,Single,Student
87,Kimberly Lowery,24,Male,Single,Student
88,Dylan Black,25,Male,Single,Student
89,Jessica Gomez,25,Male,Single,Student
90,Daniel Russell,28,Male,Married,Self Employeed
91,Amy Kennedy,27,Female,Prefer not to say,Employee
92,Jeffrey Lawrence,26,Male,Single,Self Employeed
93,Gabriella Johnson,22,Male,Single,Student
94,Makayla Curtis,24,Female,Single,Student
95,Scott Smith,23,Male,Single,Student
96,Laura Marks,25,Male,Single,Student
97,Charles Phillips,23,Female,Single,Student
98,Karen Rivera,23,Female,Single,Student
99,Brian Kennedy,26,Male,Married,Employee
100,Courtney Lucas,32,Female,Married,House wife
101,Howard White,24,Female,Single,Student
102,Spencer Martin,23,Male,Single,Student
103,Lauren Swanson,22,Female,Single,Employee
104,Katelyn Davis,24,Female,Single,Student
105,Tara Sullivan,26,Male,Single,Employee
